name,doses,s1,s2,s3,s4
drug1,0.0147,109.1306,113.2442,123.82908,104.03995
drug1,0.0293,107.2217,98.03999,111.40158,76.18718
drug1,0.0391,110.0373,112.36613,107.59744,116.21131
drug1,0.0586,113.521,115.24853,103.74586,113.96297
drug1,0.0781,116.8902,138.99498,117.17895,153.44636
drug1,0.1172,116.4225,115.71621,121.03052,126.40945
drug1,0.156,125.5278,126.6159,126.21971,114.83575
drug1,0.2343,121.2042,107.18352,117.55841,128.91392
drug1,0.313,130.9968,122.83632,131.30455,102.68336
drug1,0.4688,111.2685,114.48498,120.64157,117.57739
drug1,0.625,115.4967,114.24637,137.83135,114.15271
drug1,0.9375,102.5927,102.26816,114.0104,111.64824
drug1,1.25,112.7193,97.80138,107.90101,115.76543
drug1,1.875,103.1367,90.95806,97.38982,125.07183
drug1,2.5,106.2863,111.15398,86.86914,133.30622
drug1,3.75,103.423,102.23953,105.04554,84.13699
drug1,5,105.5228,110.89629,101.04217,110.65214
drug1,7.5,108.9779,101.81002,108.72635,103.98303
drug1,10,101.8578,109.83686,104.05892,108.66943
drug1,15,102.5831,107.85162,100.98526,96.02374
drug1,20,100.3497,108.90151,104.11585,65.20383
drug2,0.0147,106.3923117,92.84464712,90.27611886,
drug2,0.0293,107.5317119,91.57351911,100.3665132,
drug2,0.0391,104.1925396,94.97854487,103.8780869,
drug2,0.0586,105.7534521,104.8248081,104.9602304,
drug2,0.0781,97.59982801,97.75789451,102.4877879,
drug2,0.1172,102.4735618,104.6799152,99.3345443,
drug2,0.156,98.27820236,98.23209524,94.05284513,
drug2,0.2343,100.7084769,98.08061127,96.6041115,
drug2,0.313,95.0048946,87.63501309,93.64435894,
drug2,0.4688,101.7490902,98.48236495,100.5313444,
drug2,0.625,105.0158056,106.4647575,99.51370008,
drug2,0.9375,109.013585,108.2166675,108.4144673,
drug2,1.25,105.2529115,108.5591417,92.40455584,
drug2,1.875,107.6304976,101.729334,97.44259071,
drug2,2.5,91.09273585,98.58116049,83.56389162,
drug2,3.75,80.12683106,89.56474703,73.54955772,
drug2,5,65.68345346,82.87983098,59.82575217,
drug2,7.5,44.20609088,66.57916649,49.14770257,
drug2,10,29.58488449,38.10074873,20.947613,
drug2,15,31.2841061,33.00308511,29.2678952,
drug2,20,39.30600977,38.27198887,31.81915892,
