name,doses,s1,s2,s3
drug2,0.0147,106.3923117,92.84464712,90.27611886
drug2,0.0293,107.5317119,91.57351911,100.3665132
drug2,0.0391,104.1925396,94.97854487,103.8780869
drug2,0.0586,105.7534521,104.8248081,104.9602304
drug2,0.0781,97.59982801,97.75789451,102.4877879
drug2,0.1172,102.4735618,104.6799152,99.3345443
drug2,0.156,98.27820236,98.23209524,94.05284513
drug2,0.2343,100.7084769,98.08061127,96.6041115
drug2,0.313,95.0048946,87.63501309,93.64435894
drug2,0.4688,101.7490902,98.48236495,100.5313444
drug2,0.625,105.0158056,106.4647575,99.51370008
drug2,0.9375,109.013585,108.2166675,108.4144673
drug2,1.25,105.2529115,108.5591417,92.40455584
drug2,1.875,107.6304976,101.729334,97.44259071
drug2,2.5,91.09273585,98.58116049,83.56389162
drug2,3.75,80.12683106,89.56474703,73.54955772
drug2,5,65.68345346,82.87983098,59.82575217
drug2,7.5,44.20609088,66.57916649,49.14770257
drug2,10,29.58488449,38.10074873,20.947613
drug2,15,31.2841061,33.00308511,29.2678952
drug2,20,39.30600977,38.27198887,31.81915892
